game.key,game.date,game.number,name.full
d571985e-214a-5d80-9a85-555ff603c220,1915-04-12,0,Norcum
d571985e-214a-5d80-9a85-555ff603c220,1915-04-12,0,Harbison
efc5f883-823f-5693-8928-c0b38dd30ea6,1915-04-12,0,Moran
259b6651-92df-5512-8f62-bf58bd0cc199,1915-04-12,0,Vitter
7e5f88cf-f9d1-5071-84b9-c29a06be28f4,1915-04-13,0,Norcum
7e5f88cf-f9d1-5071-84b9-c29a06be28f4,1915-04-13,0,Harbison
d204b784-1557-5906-8842-c5a1eb388494,1915-04-13,0,Lauzon
a6e1f08c-1050-5068-aec5-392d281e0a41,1915-04-13,0,Moran
d885c7de-d6d1-561c-a448-b6507c12c5d5,1915-04-13,0,Vitter
79bd948e-5824-57e6-966c-a75ac2845d6e,1915-04-14,0,Norcum
e6207c6d-5050-5ca5-9f98-ed8fc14f18c2,1915-04-14,0,Lauzon
67b82079-2b9b-5e93-b038-cf388f71981e,1915-04-14,0,Moran
4855ef3a-4c16-524d-9296-1010c8e91bdc,1915-04-14,0,Vitter
93166b42-65c4-5674-af32-564272019d70,1915-04-15,0,Vitter
7b8e86ae-15d0-537d-9658-55e72bb6cca9,1915-04-15,0,Lauzon
584b5700-174c-5a31-86fb-2aa550912974,1915-04-15,0,Moran
f25b5d9f-abf0-5c86-8084-b90f1a8fe907,1915-04-15,0,Norcum
c668e4ff-3a9e-5315-abaf-4f4ea32ca68a,1915-04-16,0,Vitter
33d069b9-ac4c-5951-a254-efa3d5dc6924,1915-04-16,0,Lauzon
f7bcca73-bdd2-5c0f-a723-7086ace499f8,1915-04-16,0,Moran
69dc90aa-78c7-50d9-8075-501b480fa04c,1915-04-16,0,Norcum
0d3d60a6-8853-5bcf-bcd6-ffbea30ecf2f,1915-04-17,0,Vitter
d049709f-7481-58cf-b8e3-8d091f6f693a,1915-04-17,0,Lauzon
654c0703-af63-5c77-8ab3-6619c31770c6,1915-04-17,0,Moran
6a4bf2f4-848b-51b1-afbf-571e678ad164,1915-04-17,0,Norcum
dca6c185-5d31-5377-b625-7bd3a37777c8,1915-04-19,0,Norcum
f83be90d-3e1a-5d73-9b35-4511a127af61,1915-04-19,0,Moran
87c608b1-e2b5-5f72-8839-314e8b55cbff,1915-04-19,0,Vitter
79c2f5cd-83df-572a-990c-a7a1eb4ef0fb,1915-04-19,0,Lauzon
439d0b80-5c51-5b78-8ba6-631e76cf5002,1915-04-20,0,Norcum
af0258fe-89bf-5292-9b08-b692a085076c,1915-04-20,0,Vitter
2d84d251-68e7-5f64-b649-acb0b3050903,1915-04-20,0,Lauzon
f8d484b7-71a3-5c8d-b86c-9087aedaf1d6,1915-04-21,0,Norcum
51e665df-2aff-5a6f-8254-9c1061195a2c,1915-04-21,0,Vitter
fea2b993-6ccd-50b0-9543-fb951dc94944,1915-04-21,0,Lauzon
b400cbd9-b5af-563f-a9fe-2820ce4395b0,1915-04-22,0,Norcum
d8d6414a-d28f-5d12-9764-8509a3b0c542,1915-04-22,0,Vitter
f80c34e1-e169-5f9b-8fb1-190bb1aa8555,1915-04-22,0,Lauzon
761ddb1e-512f-5333-8c03-96a79fef8014,1915-04-22,0,Moran
11ddae16-c071-5086-a848-0d85114b4947,1915-04-23,0,Norcum
4949f26b-b5ab-5435-8382-6022db50b3da,1915-04-23,0,Vitter
b956eee1-c06c-5c99-8dbe-8b698f916ef8,1915-04-23,0,Lauzon
108dfbba-1ff2-521f-8738-075aa35f2b76,1915-04-23,0,Moran
08d6dc9c-66f4-5370-93a5-c3ad3859d1a3,1915-04-24,0,Norcum
373086a9-7772-57d0-ad51-d29ad66fa1c2,1915-04-24,0,Vitter
29205f6f-6db3-53e6-b80e-c747e04243bd,1915-04-24,0,Lauzon
90d45b19-faa5-542d-9c1f-63ddce3bc2af,1915-04-24,0,Moran
